Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Age_of_Car,Power_per_Liter,Mileage_per_Seat
3,Maruti Ertiga VDI,Chennai,2012,87000,0,0,First,20.77,1248,88.76,7.0,6.0,12,4.27,2.97
6,Nissan Micra Diesel XV,Jaipur,2013,86999,0,0,First,23.08,1461,63.1,5.0,3.5,11,2.73,4.62
9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,0,0,Second,22.3,1248,74,5.0,1.95,12,3.32,4.46
10,Maruti Ciaz Zeta,Kochi,2018,25692,1,0,First,21.56,1462,103.25,5.0,9.95,6,4.79,4.31
12,Maruti Swift VDI BSIV,Jaipur,2015,64424,0,0,First,25.2,1248,74,5.0,5.6,9,2.94,5.04
16,Honda Amaze S i-Dtech,Kochi,2016,58950,0,0,First,25.8,1498,98.6,5.0,5.4,8,3.82,5.16
17,Maruti Swift DDiS VDI,Jaipur,2017,25000,0,0,First,28.4,1248,74,5.0,5.99,7,2.61,5.68
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,0,0,First,20.45,1461,83.8,5.0,6.34,10,4.1,4.09
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,0,0,Second,23.65,1248,88.5,5.0,8.25,9,3.74,4.73
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,1,0,Second,20.92,998,67.1,5.0,2.75,11,3.21,4.18
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,0,0,First,24.3,1248,88.5,5.0,8.63,6,3.64,4.86
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,0,0,First,22.07,1199,73.9,5.0,5.0,11,3.35,4.41
41,Tata Nano LX SE,Kochi,2014,19698,1,0,First,25.4,624,37.5,4.0,1.53,10,1.48,6.35
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,0,0,First,25.32,1198,77,6.0,5.58,7,3.04,4.22
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,0,0,First,24.4,1120,71,5.0,3.85,10,2.91,4.88
51,Maruti Swift LDI,Delhi,2014,52000,0,0,First,22.9,1248,74,5.0,4.25,10,3.23,4.58
53,Maruti Swift VDI,Delhi,2013,65650,0,0,First,28.4,1248,74,5.0,3.85,11,2.61,5.68
56,Renault KWID RXT,Kochi,2017,16542,1,0,First,25.17,799,53.3,5.0,3.3,7,2.12,5.03
57,Hyundai i10 Asta,Kolkata,2010,32000,1,0,First,20.36,1197,78.9,5.0,2.07,14,3.88,4.07
64,Tata Indica V2 eLS,Chennai,2016,178000,0,0,First,25.0,1396,69,5.0,2.5,8,2.76,5.0
68,Maruti Ertiga SHVS VDI,Pune,2016,63000,0,0,First,24.52,1248,88.5,7.0,8.15,8,3.61,3.5
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,0,0,First,22.1,1396,88.7,5.0,10.5,6,4.01,4.42
