Name,Mileage,Engine,Seats
Hyundai Creta 1.6 CRDi SX Option,19.67,1582,5.0
Honda Jazz V,13,1199,5.0
Maruti Ertiga VDI,20.77,1248,7.0
Audi A4 New 2.0 TDI Multitronic,15.2,1968,5.0
Nissan Micra Diesel XV,23.08,1461,5.0
Toyota Innova Crysta 2.8 GX AT 8S,11.36,2755,8.0
Volkswagen Vento Diesel Comfortline,20.54,1598,5.0
Tata Indica Vista Quadrajet LS,22.3,1248,5.0
Maruti Ciaz Zeta,21.56,1462,5.0
Honda City 1.5 V AT Sunroof,16.8,1497,5.0
Maruti Swift VDI BSIV,25.2,1248,5.0
Land Rover Range Rover 2.2L Pure,12.7,2179,5.0
Land Rover Freelander 2 TD4 SE,0.0,2179,5.0
Mitsubishi Pajero Sport 4X4,13.5,2477,7.0
Honda Amaze S i-Dtech,25.8,1498,5.0
Maruti Swift DDiS VDI,28.4,1248,5.0
Renault Duster 85PS Diesel RxL Plus,20.45,1461,5.0
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,14.84,2143,5.0
BMW 3 Series 320d,22.69,1995,5.0
Maruti S Cross DDiS 200 Alpha,23.65,1248,5.0
Audi A6 2011-2015 35 TFSI Technology,13.53,1984,5.0
Hyundai i20 1.2 Magna,18.5,1197,5.0
Volkswagen Vento Petrol Highline AT,14.4,1598,5.0
Honda City Corporate Edition,16.8,1497,5.0
Nissan Micra Diesel XV,16.48,1461,5.0
Maruti Alto K10 2010-2014 VXI,20.92,998,5.0
Honda WRV i-VTEC VX,17.5,1199,5.0
Toyota Innova 2.5 V Diesel 7-seater,12.8,2494,7.0
Renault Duster 110PS Diesel RxZ Pack,19.01,1461,5.0
Toyota Corolla Altis G,14.53,1798,5.0
Mahindra Ssangyong Rexton RX7,11.18,2696,7.0
Audi A6 2.7 TDI,12.4,2698,5.0
Volkswagen Vento 1.6 Highline,16.09,1598,5.0
Maruti Wagon R LXI BSIII,14.0,1061,5.0
Maruti Vitara Brezza ZDi Plus,24.3,1248,5.0
Mahindra KUV 100 mFALCON G80 K6 5str AW,18.15,1198,5.0
Mercedes-Benz M-Class ML 350 CDI,11.74,2987,5.0
Volkswagen Polo Diesel Trendline 1.2L,22.07,1199,5.0
Maruti Alto LXi,19.7,796,5.0
Tata Nano LX SE,25.4,624,4.0
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,25.32,1198,6.0
Hyundai i20 Magna Optional 1.2,18.5,1197,5.0
Hyundai Elantra 2.0 SX Option AT,14.62,1999,5.0
Toyota Corolla Altis G AT,14.28,1798,5.0
Hyundai Elantra CRDi,14.9,1991,5.0
Toyota Innova Crysta 2.7 GX MT,11.25,2694,7.0
Hyundai Xcent 1.1 CRDi S,24.4,1120,5.0
Mahindra Thar CRDe AC,16.55,2498,6.0
Audi A4 2.0 TDI 177 Bhp Premium Plus,17.11,1968,5.0
Maruti Swift LDI,22.9,1248,5.0
Maruti Swift Ldi BSIV,17.8,1248,5.0
Maruti Swift VDI,28.4,1248,5.0
Hyundai Grand i10 Sportz,18.9,1197,5.0
Volkswagen Vento 2013-2015 1.6 Comfortline,15.04,1598,5.0
Renault KWID RXT,25.17,799,5.0
Hyundai i10 Asta,20.36,1197,5.0
Nissan X-Trail SLX AT,9.49,1995,5.0
Maruti Zen Estilo VXI BSIII,18.2,998,5.0
Toyota Innova Crysta 2.4 GX MT 8S,13.68,2393,8.0
Ford Figo Diesel Titanium,20.0,1399,5.0
Mercedes-Benz New C-Class C 200 CGI Avantgarde,11.74,1796,5.0
Mercedes-Benz New C-Class 200 CDI Classic,15.8,2148,5.0
Tata Indica V2 eLS,25.0,1396,5.0
Audi A4 2.0 TDI Multitronic,16.55,1968,5.0
Honda City ZX CVT,16.4,1497,5.0
Mercedes-Benz C-Class Progressive C 220d,0.0,1950,5.0
Maruti Ertiga SHVS VDI,24.52,1248,7.0
Hyundai Creta 1.4 E Plus Diesel,22.1,1396,5.0
Porsche Cayenne 2009-2014 Turbo,8.5,4806,5.0
Mahindra XUV500 W8 4WD,15.1,2179,7.0
Hyundai i10 Sportz 1.2 AT,16.95,1197,5.0
Nissan Terrano XV D Pre,19.64,1461,5.0
Honda Brio VX AT,16.5,1198,5.0
Audi A6 2.0 TDI Design Edition,18.53,1968,5.0
Toyota Innova 2.0 G1,12.4,1998,8.0
Toyota Innova 2.5 VX 7 STR BSIV,12.8,2494,7.0
Maruti Swift VDI,22.9,1248,5.0
Tata Zest Revotron 1.2T XE,17.57,1193,5.0
Honda Amaze SX i-VTEC,18.0,1198,5.0
Ford Figo Diesel ZXI,20.0,1399,5.0
Maruti Ritz VDi,23.2,1248,5.0
Honda City i VTEC E,17.8,1497,5.0
BMW 5 Series 2003-2012 525d,16.73,1995,5.0
Hyundai i10 Sportz 1.2,20.36,1197,5.0
Hyundai Grand i10 Sportz,18.9,1197,5.0
Honda Amaze SX i-VTEC,17.8,1198,5.0
Toyota Fortuner 4x2 Manual,13.0,2982,7.0
Audi A6 2011-2015 35 TDI Premium,17.68,1968,5.0
Ford Ecosport 1.5 DV5 MT Titanium Optional,22.7,1498,5.0
Mahindra XUV500 W8 2WD,15.1,2179,7.0
Honda Amaze SX i-DTEC,25.8,1498,5.0
Volkswagen Polo Diesel Highline 1.2L,22.07,1199,5.0
Hyundai Verna Transform SX VGT CRDi,16.2,1493,5.0
Maruti Wagon R VXI BS IV,18.9,998,5.0
Volkswagen Polo Petrol Highline 1.6L,15.26,1598,5.0
Hyundai i20 1.4 CRDi Sportz,23.0,1396,5.0
Hyundai i20 Asta 1.2,18.5,1197,5.0
Datsun GO Plus T Petrol,19.83,1198,7.0
Audi A4 3.0 TDI Quattro Premium,14.94,2967,5.0
Hyundai i20 2015-2017 Asta,17.0,1197,5.0
Maruti Omni 5 Str STD,14.0,796,5.0
Toyota Etios Liva 1.2 G,17.71,1197,5.0
Jaguar XF 3.0 Litre S Premium Luxury,14.74,2993,5.0
Mahindra XUV500 W8 2WD,16.0,2179,7.0
Hyundai Verna 1.6 SX CRDI (O) AT,22.32,1582,5.0
